country,iso3,reporter_code,base_year,base_year_2,future_year,future_year_2,base_window,future_window,horizon,product_level,active_threshold_usd_2024,persistence_rule,channel_type,channel_type_label,channel,channel_label,channel_order,base_value_2024_usd,future_value_2024_usd,net_contribution_2024_usd,positive_expansion_2024_usd,contraction_2024_usd,product_count,partner_count,cell_count,total_base_exports_2024_usd,total_future_exports_2024_usd,total_net_growth_2024_usd,total_positive_expansion_2024_usd,total_contraction_2024_usd,positive_expansion_share,net_growth_share,contraction_share,within_continuing_positive_expansion_share,within_continuing_net_growth_share
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_lost_product_specific_partner,Continuing HS4 products to lost product-specific partners,4,161404597.29120612,6150832.923343337,-155253764.36786282,2964110.220427695,158217874.5882905,47,24,89,1265790421.8582633,8979015870.91378,7713225449.055517,8204472386.404465,491246937.3489465,0.0003612798094536204,-0.020128254436913108,0.3220740172796312,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_below_threshold_product_specific_partner_residual,Continuing HS4 products below product-specific partner threshold,5,78999595.47464068,105776347.9820039,26776752.507363208,101115161.82425216,74338409.31688894,78,97,742,1265790421.8582633,8979015870.91378,7713225449.055517,8204472386.404465,491246937.3489465,0.012324395410460386,0.003471537644558544,0.1513259496701641,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,dying_product_cells,Dying HS4 product cells,6,53843986.337148644,3065063.633409935,-50778922.703738704,2540884.4173524952,53319807.1210912,66,63,463,1265790421.8582633,8979015870.91378,7713225449.055517,8204472386.404465,491246937.3489465,0.00030969504164130837,-0.006583357771547644,0.10853972425525096,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,below_threshold_product_residual,Below-threshold product residual cells,7,23421480.59965138,50930816.71258968,27509336.11293829,50368950.83051929,22859614.717581004,526,84,2448,1265790421.8582633,8979015870.91378,7713225449.055517,8204472386.404465,491246937.3489465,0.00613920657640156,0.0035665152399126103,0.04653385696599911,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,new_reporter_partner_new_product,New reporter partners with net-new HS4 products,1,326853.19718141423,1062642647.7813478,1062315794.5841665,1062636642.8683463,320848.2841798967,44,22,193,1265790421.8582633,8979015870.91378,7713225449.055517,8204472386.404465,491246937.3489465,0.1295191930475906,0.13772653238266838,0.0006531303501073822,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,new_reporter_partner_existing_product,New reporter partners with continuing HS4 products,2,47615579.905974664,523320906.2331356,475705326.32716095,520377611.51201206,44672285.184851125,44,24,112,1265790421.8582633,8979015870.91378,7713225449.055517,8204472386.404465,491246937.3489465,0.06342609091771992,0.06167398184703793,0.09093651642070014,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,existing_reporter_partner_new_product,Existing reporter partners with net-new HS4 products,3,28900562.52017404,4152257874.2945366,4123357311.774361,4128015077.3316245,4657765.557263151,133,32,840,1265790421.8582633,8979015870.91378,7713225449.055517,8204472386.404465,491246937.3489465,0.5031420526409608,0.5345827551662276,0.009481515716717046,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,existing_reporter_partner_existing_product,Existing reporter partners with continuing HS4 products,4,1101902166.018809,2716550228.3172016,1614648062.2983928,1971069197.4207697,356421135.12237716,81,32,787,1265790421.8582633,8979015870.91378,7713225449.055517,8204472386.404465,491246937.3489465,0.24024326057663445,0.2093350016750912,0.7255437296888453,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,lost_reporter_partner,Lost reporter partners,5,4251754.344982109,4825.023852764569,-4246929.321129345,4825.023852764569,4251754.344982109,18,2,20,1265790421.8582633,8979015870.91378,7713225449.055517,8204472386.404465,491246937.3489465,5.880967874009863e-07,-0.0005506035508983315,0.008655024635730132,,
Azerbaijan,AZE,31,1996,1997,2006,2007,1996-1997,2006-2007,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,reporter_partner_product_residual,Reporter-partner/product residual cells,6,82793505.87114166,524239389.26370627,441445883.39256465,522369032.24785775,80923148.85529311,695,96,3306,1265790421.8582633,8979015870.91378,7713225449.055517,8204472386.404465,491246937.3489465,0.06366881472030662,0.0572323324798732,0.1647300831879001,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,net_new_product,Net-new HS4 products,1,13174404.41613111,124646711.30815063,111472306.89201951,119554054.83444618,8081747.942426666,74,96,679,1228313305.8805041,3829740696.8885603,2601427391.0080566,3283902936.596029,682475545.5879724,0.036406086642247544,0.04285043944617799,0.011841813226383087,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_to_new_product_specific_partner,Continuing HS4 products to new product-specific partners,2,99064607.03203884,2770825149.7228613,2671760542.6908236,2677587488.1744556,5826945.4836319145,41,39,103,1228313305.8805041,3829740696.8885603,2601427391.0080566,3283902936.596029,682475545.5879724,0.8153674270744259,1.0270363693124307,0.008537954980660636,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_to_existing_product_specific_partner,Continuing HS4 products to existing product-specific partners,3,772549860.5373621,696995783.5474578,-75554076.98990431,285859469.1359561,361413546.1258605,46,18,84,1228313305.8805041,3829740696.8885603,2601427391.0080566,3283902936.596029,682475545.5879724,0.08704869621763771,-0.029043315700857216,0.5295626318954656,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_lost_product_specific_partner,Continuing HS4 products to lost product-specific partners,4,149572656.966809,11840238.624919944,-137732418.34188905,10848.1804939734,137743266.522383,43,24,82,1228313305.8805041,3829740696.8885603,2601427391.0080566,3283902936.596029,682475545.5879724,3.3034412719939338e-06,-0.05294494046536412,0.20182886758779495,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_below_threshold_product_specific_partner_residual,Continuing HS4 products below product-specific partner threshold,5,128382971.11143509,190815765.18254712,62432794.07111203,170444799.13498348,108012005.06387147,80,96,776,1228313305.8805041,3829740696.8885603,2601427391.0080566,3283902936.596029,682475545.5879724,0.05190311724367231,0.023999437496089113,0.15826501881589913,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,dying_product_cells,Dying HS4 product cells,6,48390439.63575433,22574566.37638435,-25815873.259369984,19165150.10861225,44981023.36798224,64,57,430,1228313305.8805041,3829740696.8885603,2601427391.0080566,3283902936.596029,682475545.5879724,0.005836089092352446,-0.009923733927229197,0.06590862289319069,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,below_threshold_product_residual,Below-threshold product residual cells,7,17178366.18097364,12042482.126239117,-5135884.054734524,11281127.027082212,16417011.081816735,542,72,1980,1228313305.8805041,3829740696.8885603,2601427391.0080566,3283902936.596029,682475545.5879724,0.003435280288392387,-0.0019742561612470615,0.02405509060060607,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,new_reporter_partner_new_product,New reporter partners with net-new HS4 products,1,1094368.1554571805,4222191.174618673,3127823.0191614926,4143151.3821328003,1015328.3629713078,29,13,72,1228313305.8805041,3829740696.8885603,2601427391.0080566,3283902936.596029,682475545.5879724,0.0012616546414820154,0.0012023487682081555,0.0014877139108282233,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,new_reporter_partner_existing_product,New reporter partners with continuing HS4 products,2,40731780.95321095,158223764.6621477,117491983.70893675,156996863.7470374,39504880.03810066,43,17,109,1228313305.8805041,3829740696.8885603,2601427391.0080566,3283902936.596029,682475545.5879724,0.047808009791475294,0.04516442938790171,0.05788468215966048,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,existing_reporter_partner_new_product,Existing reporter partners with net-new HS4 products,3,11878084.678713473,113197861.61294928,101319776.93423581,108190375.04669434,6870598.112458523,74,33,462,1228313305.8805041,3829740696.8885603,2601427391.0080566,3283902936.596029,682475545.5879724,0.03294566774218986,0.03894776278763416,0.01006717113437274,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,existing_reporter_partner_existing_product,Existing reporter partners with continuing HS4 products,4,1067231249.7253871,3491707776.5503273,2424476526.8249407,2958562546.963103,534086020.138162,81,34,775,1228313305.8805041,3829740696.8885603,2601427391.0080566,3283902936.596029,682475545.5879724,0.9009287436582515,0.931979318433121,0.7825716592937135,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,lost_reporter_partner,Lost reporter partners,5,34211600.75017092,3842337.151770029,-30369263.59840089,1660244.2774953272,32029507.875896223,90,6,105,1228313305.8805041,3829740696.8885603,2601427391.0080566,3283902936.596029,682475545.5879724,0.0005055704475894999,-0.011674076971501695,0.04693136345024916,,
Azerbaijan,AZE,31,1997,1998,2002,2003,1997-1998,2002-2003,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,reporter_partner_product_residual,Reporter-partner/product residual cells,6,73166221.61756474,58546765.736747235,-14619455.880817506,54349755.179566264,68969211.06038377,691,105,2611,1228313305.8805041,3829740696.8885603,2601427391.0080566,3283902936.596029,682475545.5879724,0.016550353719011923,-0.005619782405363406,0.10105741005117597,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,net_new_product,Net-new HS4 products,1,11351720.389059845,693618169.1382201,682266448.7491604,690040704.0304141,7774255.281253745,132,91,1337,1228313305.8805041,37781254644.05489,36552941338.174385,37003071909.19313,450130571.01873374,0.018648200498699103,0.018665158637634162,0.017271111499179183,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_to_new_product_specific_partner,Continuing HS4 products to new product-specific partners,2,95222695.52573086,30463779121.643707,30368556426.11797,30373006116.222626,4449690.104657272,60,47,144,1228313305.8805041,37781254644.05489,36552941338.174385,37003071909.19313,450130571.01873374,0.8208239086408576,0.830810197875986,0.009885331926215877,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_to_existing_product_specific_partner,Continuing HS4 products to existing product-specific partners,3,735489267.7429222,2231062459.751385,1495573192.0084631,1634498167.138803,138924975.13033977,51,20,84,1228313305.8805041,37781254644.05489,36552941338.174385,37003071909.19313,450130571.01873374,0.04417195878087961,0.04091526255498756,0.3086326147898049,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_lost_product_specific_partner,Continuing HS4 products to lost product-specific partners,4,157826038.3474777,75029775.21778055,-82796263.12969717,34327397.49524391,117123660.62494108,43,25,81,1228313305.8805041,37781254644.05489,36552941338.174385,37003071909.19313,450130571.01873374,0.0009276904787657785,-0.002265105354004116,0.2601993025265253,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_below_threshold_product_specific_partner_residual,Continuing HS4 products below product-specific partner threshold,5,126849497.05179067,4231586150.175754,4104736653.1239634,4186017317.3901477,81280664.26618421,84,102,769,1228313305.8805041,37781254644.05489,36552941338.174385,37003071909.19313,450130571.01873374,0.11312621091737424,0.11229565946960185,0.18057130419342576,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,dying_product_cells,Dying HS4 product cells,6,82573036.6154781,1892321.6052779537,-80680715.01020013,1458460.2148232888,82139175.22502342,60,64,456,1228313305.8805041,37781254644.05489,36552941338.174385,37003071909.19313,450130571.01873374,3.941457126593172e-05,-0.0022072290780589116,0.1824785529210477,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,below_threshold_product_residual,Below-threshold product residual cells,7,19001050.20804491,84286646.52277306,65285596.314728156,83723746.70106235,18438150.386334203,510,84,2233,1228313305.8805041,37781254644.05489,36552941338.174385,37003071909.19313,450130571.01873374,0.0022626161121574837,0.0017860558938535152,0.040961782143801195,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,new_reporter_partner_new_product,New reporter partners with net-new HS4 products,1,209750.48017819686,4853197.573306379,4643447.093128181,4818090.071843407,174642.9787152246,36,18,156,1228313305.8805041,37781254644.05489,36552941338.174385,37003071909.19313,450130571.01873374,0.00013020784014006117,0.00012703347317986573,0.00038798293197454527,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,new_reporter_partner_existing_product,New reporter partners with continuing HS4 products,2,41067310.09981705,4318517797.468735,4277450487.3689165,4317932686.8976145,40482199.528697684,34,24,100,1228313305.8805041,37781254644.05489,36552941338.174385,37003071909.19313,450130571.01873374,0.11669119519303632,0.11702069192723825,0.08993434824272994,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,existing_reporter_partner_new_product,Existing reporter partners with net-new HS4 products,3,11000466.082319152,687033326.1197761,676032860.037457,683493962.2709417,7461102.233484683,132,36,886,1228313305.8805041,37781254644.05489,36552941338.174385,37003071909.19313,450130571.01873374,0.018471276221289426,0.018494622738647742,0.01657541769846635,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,existing_reporter_partner_existing_product,Existing reporter partners with continuing HS4 products,4,1060825414.4454502,31857076035.61069,30796250621.16524,31086098737.33144,289848116.1661983,85,36,843,1228313305.8805041,37781254644.05489,36552941338.174385,37003071909.19313,450130571.01873374,0.8400950822033869,0.8425108758348513,0.6439200863656409,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,lost_reporter_partner,Lost reporter partners,5,9078509.541232584,13176713.576968346,4098204.0357357585,12311182.355501946,8212978.319766183,39,4,47,1228313305.8805041,37781254644.05489,36552941338.174385,37003071909.19313,450130571.01873374,0.00033270703539733216,0.00011211694286981396,0.01824576878033101,,
Azerbaijan,AZE,31,1997,1998,2007,2008,1997-1998,2007-2008,10,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_partner_first,Partner-first: reporter-partner status,reporter_partner_product_residual,Reporter-partner/product residual cells,6,106131855.23150696,900597573.705414,794465718.473907,898417250.2657787,103951531.79187167,687,96,3072,1228313305.8805041,37781254644.05489,36552941338.174385,37003071909.19313,450130571.01873374,0.02427953150674968,0.021734659083213086,0.23093639598085722,,
Azerbaijan,AZE,31,1998,1999,2003,2004,1998-1999,2003-2004,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,net_new_product,Net-new HS4 products,1,5562307.287793173,133313809.80464096,127751502.51684779,129919263.21325901,2167760.6964112194,69,67,532,1339308587.88963,4880871177.91974,3541562590.0301085,3952860214.1412935,411297624.11118543,0.032867153447135554,0.036072072501692455,0.0052705402835616965,,
Azerbaijan,AZE,31,1998,1999,2003,2004,1998-1999,2003-2004,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_to_new_product_specific_partner,Continuing HS4 products to new product-specific partners,2,111971722.74635345,873881072.1528058,761909349.4064524,769654350.8307744,7745001.424321959,60,49,139,1339308587.88963,4880871177.91974,3541562590.0301085,3952860214.1412935,411297624.11118543,0.19470821358097826,0.2151336677068229,0.01883064955957116,,
Azerbaijan,AZE,31,1998,1999,2003,2004,1998-1999,2003-2004,5,hs4,50000.0,adjacent_2_base_years_and_adjacent_2_future_years,combined_product_first,Product-first: product-specific partner status,existing_product_to_existing_product_specific_partner,Continuing HS4 products to existing product-specific partners,3,867290068.7801092,3400343950.1900263,2533053881.4099174,2630522634.914091,97468753.50417347,43,24,80,1339308587.88963,4880871177.91974,3541562590.0301085,3952860214.1412935,411297624.11118543,0.665473225059525,0.7152362317528271,0.23697864463672394,,
